Tipo,Codice,Descrizione,Sezione,Soluzione
ALARM,0230,"if a sine-wave filter is parameterized as output filter (p0230 = 3, 4), then only responses can be s",sezione_010541,Vedere manuale SINAMICS
ALARM,0302,drive commissioning can only be exited if the code number that was downloaded (r0302) matches the st,sezione_010882,Vedere manuale SINAMICS
ALARM,0325,"the value is automatically pre-assigned for the following events:
- for p0325 = 0 and automatic calc",sezione_011974,Vedere manuale SINAMICS
ALARM,1750,"1750 – monitoring functions, faults, alarms",sezione_121044,Vedere manuale SINAMICS
ALARM,2111,"alarms counter
r2111",sezione_121060,Vedere manuale SINAMICS
ALARM,2135,"for a thermal power unit overload, an appropriate alarm or fault is output, and r2135.15 or r2135.13",sezione_010512,Vedere manuale SINAMICS
ALARM,2546,"2546 – control word, faults/alarms . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",sezione_118722,Vedere manuale SINAMICS
ALARM,2548,"2548 – status word, faults/alarms 1 and 2 . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",sezione_118724,Vedere manuale SINAMICS
ALARM,2802,2802 – monitoring functions and faults/alarms . . . . . . . . . . . . . . . . . . . . . . . . . . .,sezione_118752,Vedere manuale SINAMICS
ALARM,5390,mot_temp_mod 3 alarm threshold image p5390 / a thr image p5390,sezione_117783,Vedere manuale SINAMICS
ALARM,8065,[8065] alarm buffer,sezione_121061,Vedere manuale SINAMICS
ALARM,8070,[8070] fault/alarm trigger word,sezione_121067,Vedere manuale SINAMICS
ALARM,8075,[8075] fault/alarm configuration,sezione_121097,Vedere manuale SINAMICS
ALARM,9938,"re bit 00:
to activate this function, p9938 must be set to 0 (inactive).
after changing the error co",sezione_111033,Vedere manuale SINAMICS
ALARM,a0681,"sets the voltage threshold to initiate alarm a06810.
the value represents an offset so that the alar",sezione_010279,Vedere manuale SINAMICS
ALARM,ceede,"sets the alarm threshold for the i2t power unit overload.
drive:
if this threshold is exceeded, an o",sezione_010592,Vedere manuale SINAMICS
ALARM,f3110,"fault/
alarm messages
f31100-a33904",sezione_120786,Vedere manuale SINAMICS
ALARM,feedb,"no function
sto active
ss1 active
ss2 active
sos active
sls active
ssm feedback signal active
safe s",sezione_114255,Vedere manuale SINAMICS
FAULT,0210,the warning information associated with p0210 must be carefully observed.,sezione_010317,Vedere manuale SINAMICS
FAULT,0230,"if a sine-wave filter is parameterized as output filter (p0230 = 3, 4), then only responses can be s",sezione_010541,Vedere manuale SINAMICS
FAULT,2135,"for a thermal power unit overload, an appropriate alarm or fault is output, and r2135.15 or r2135.13",sezione_010512,Vedere manuale SINAMICS
FAULT,9406,"all indices from r9406 to r9408 designate the same parameter.
r9406[x] parameter number, parameter n",sezione_104400,Vedere manuale SINAMICS
FAULT,9563,"stop a
stop b
stop c
stop d
stop e
sets the stop response via p9563 (sls-specific)
stop a with delay",sezione_106591,Vedere manuale SINAMICS
FAULT,9658,"for a crosswise data comparison between p9658 and p9858, a difference of one safety monitoring clock",sezione_110023,Vedere manuale SINAMICS
FAULT,9794,"example:
r9794[0] = 1 (monitoring clock cycle)
r9794[1] = 2 (enable safety functions)
r9794[2] = 3 (",sezione_109631,Vedere manuale SINAMICS
FAULT,9894,"example:
r9894[0] = 1 (monitoring clock cycle)
r9894[1] = 2 (enable safety functions)
r9894[2] = 3 (",sezione_110247,Vedere manuale SINAMICS
FAULT,cbe20,cbe20 default gateway of station active / cbe20 def gw act,sezione_101759,Vedere manuale SINAMICS
FAULT,ceede,"if the value displayed is exceeded, message c01711 is output indicating relevant subsequent faults.",sezione_108484,Vedere manuale SINAMICS
FAULT,effec,"rounding effects can occur in the last decimal place of the parameterized time.
the debounce time is",sezione_109966,Vedere manuale SINAMICS
FAULT,f0161,a complete list of numbers for crosswise-compared data items appears in fault f01611.,sezione_109655,Vedere manuale SINAMICS
FAULT,f3000,sets the absolute value by which the threshold to initiate the undervoltage fault (f30003) is reduce,sezione_010251,Vedere manuale SINAMICS
FAULT,f3061,the complete list of numbers for crosswise data comparison is listed in fault f30611.,sezione_110271,Vedere manuale SINAMICS
