Name;DataType;LogicalAddress;Comment
JBWelderTorch_StsIn;udt_LDrvSafe_typeSinaSTlg30Status;%I546.0;
JBWelderTorch_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q546.0;
JBPinchRoll_StsIn;udt_LDrvSafe_typeSinaSTlg30Status;%I552.0;
JBPinchRoll_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q552.0;
Straightener_StsIn;udt_LDrvSafe_typeSinaSTlg30Status;%I288.0;
Straightener_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q288.0;
DecoilersTranslation_StsIn;udt_LDrvSafe_typeSinaSTlg30Status;%I526.0;
DecoilersTranslation_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q526.0;
Decoiler1_StsIn;udt_LDrvSafe_typeSinaSTlg30Status;%I510.0;
Decoiler1_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q510.0;
Decoiler2_StsIn;udt_LDrvSafe_typeSinaSTlg30Status;%I516.0;
Decoiler2_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q516.0;
CoilCar_StsIn;udt_LDrvSafe_typeSinaSTlg30Status;%I536.0;
CoilCar_CtrlOut;udt_LDrvSafe_typeSinaSTlg30Control;%Q536.0;
